S_NO,name,type,exposed,sensitivity,url,package,ipaddress,mac_address,hostname,os,cloud_type,exclude_ip,tags_list
1,35.184.35.160,3,1,1,,,35.184.35.160,,,,,,PX - 25
2,35.224.119.111,3,1,1,,,35.224.119.111,,,,,,PX - 25
3,35.190.35.221,3,1,1,,,35.190.35.221,,,,,,PX - 25
4,104.154.145.137,3,1,1,,,104.154.145.137,,,,,,PX - 25
5,35.188.69.214,3,1,1,,,35.188.69.214,,,,,,PX - 25
6,35.186.205.4,3,1,1,,,35.186.205.4,,,,,,PX - 25
7,34.107.27.241,3,1,1,,,34.107.27.241,,,,,,PX - 25
8,34.89.143.122,3,1,1,,,34.89.143.122,,,,,,PX - 25
9,34.96.105.68,3,1,1,,,34.96.105.68,,,,,,PX - 25
10,35.223.96.103,3,1,1,,,35.223.96.103,,,,,,PX - 25
11,35.184.86.0,3,1,1,,,35.184.86.0,,,,,,PX - 25
12,34.149.222.69,3,1,1,,,34.149.222.69,,,,,,PX - 25
